what,kind,bundleId,bundleVersion,description,time
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/dlcl16/save_console.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981289
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/elcl16/save_console.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981295
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/dlcl16/lock_co.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981303
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/elcl16/lock_co.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981307
error,log,,,"The URL ""bundleentry://230.fwk14978587/icons/full/dlcl16/clear_co.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981313
error,log,,,"The URL ""bundleentry://230.fwk14978587/icons/full/clcl16/clear_co.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981317
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/obj16/error_tsk.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981878
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/obj16/warn_tsk.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940981884
error,log,,,"The URL ""bundleentry://51.fwk14978587/icons/etool16/makefile.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940983082
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1315940986605
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1315940986872
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1315940986877
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/elcl16/refresh_nav.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940986895
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/etool16/newfile_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940987251
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/etool16/newfolder_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940987256
error,log,,,"The URL ""bundleresource://154.fwk14978587/org/eclipse/jface/wizard/images/stop.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940990256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315940990338
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315940994091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1315940994092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315940994110
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/etool16/newfolder_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940996787
error,log,,,"The URL ""bundleentry://181.fwk14978587/icons/etool16/task-new.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315940996794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941000309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941266491
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/etool16/newfolder_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941268864
error,log,,,"The URL ""bundleentry://181.fwk14978587/icons/etool16/task-new.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941268873
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1315941268890
error,log,,,"The URL ""bundleresource://154.fwk14978587/org/eclipse/jface/wizard/images/stop.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941268931
error,log,,,"Unhandled event loop exception",1315941269038
error,log,,,"The URL ""bundleresource://154.fwk14978587/org/eclipse/jface/wizard/images/stop.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941276531
error,log,,,"The URL ""bundleentry://227.fwk14978587/icons/full/wizban/new_wiz.png"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941276587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941276725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941283058
error,log,,,"The URL ""bundleentry://57.fwk14978587/icons/etool16/newfolder_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941284644
error,log,,,"The URL ""bundleentry://181.fwk14978587/icons/etool16/task-new.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941284656
error,log,,,"The URL ""bundleresource://154.fwk14978587/org/eclipse/jface/wizard/images/stop.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941290367
error,log,,,"The URL ""bundleentry://227.fwk14978587/icons/full/wizban/new_wiz.png"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941290398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941290473
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/etool16/newprj_wiz.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941291696
error,log,,,"The URL ""bundleentry://234.fwk14978587/icons/full/wizban/newprj_wiz.png"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1315941293435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941312818
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315941316647
stopped,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1315941317012
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.gdbjtag.ui",1315941317014
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,7.0.0.201102110609,"org.eclipse.cdt.debug.gdbjtag.core",1315941317015
stopped,bundle,org.eclipse.cdt.launch.remote,2.2.0.201102110609,"org.eclipse.cdt.launch.remote",1315941317015
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1315941317016
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1315941317018
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1315941317020
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1315941317021
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1315941317023
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1315941317025
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1315941317027
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1315941317028
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1315941317030
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1315941317031
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1315941317033
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1315941317047
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1315941317050
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1315941317050
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1315941317050
